"","date","wrf","influent_flow_mg","influent_tss_mg_l","influent_flow_L"
"123",2021-01-04,"CC",2.12,148,8025069.2
"124",2021-01-11,"NO",4.8,246,18169968
"125",2021-01-11,"MI",3.67,196,13892454.7
"126",2021-01-11,"CC",1.9,204,7192279
"127",2021-01-13,"NO",5.57,171,21084733.7
"128",2021-01-13,"MI",3.55,192,13438205.5
"129",2021-01-13,"CC",1.85,452,7003008.5
"130",2021-01-19,"NO",5.39,196,20403359.9
"131",2021-01-19,"MI",3.6,432,13627476
"132",2021-01-19,"CC",1.72,408,6510905.2
"133",2021-01-20,"NO",5.43,312,20554776.3
"134",2021-01-20,"MI",3.45,188,13059664.5
"135",2021-01-20,"CC",1.79,280,6775883.9
"136",2021-01-25,"NO",5.03,156,19040612.3
"137",2021-01-25,"MI",3.44,488,13021810.4
"138",2021-01-25,"CC",1.72,156,6510905.2
"139",2021-01-27,"NO",6.62,352,25059414.2
"140",2021-01-27,"MI",5.09,480,19267736.9
"141",2021-01-27,"CC",2.31,400,8744297.1
"142",2021-02-01,"NO",5.62,82,21274004.2
"143",2021-02-01,"MI",4.14,164,15671597.4
"144",2021-02-01,"CC",2.1,216,7949361
"145",2021-02-03,"NO",5.73,162,21690399.3
"146",2021-02-03,"MI",3.75,160,14195287.5
"147",2021-02-03,"CC",2.54,460,9614941.4
"148",2021-02-10,"NO",5.55,424,21009025.5
"149",2021-02-10,"MI",3.57,556,13513913.7
"150",2021-02-10,"CC",2.02,284,7646528.2
"151",2021-02-08,"NO",4.93,196,18662071.3
"152",2021-02-08,"MI",3.62,492,13703184.2
"153",2021-02-08,"CC",1.91,176,7230133.1
"154",2021-02-15,"NO",6.3,218,23848083
"155",2021-02-15,"MI",4.39,252,16617949.9
"156",2021-02-15,"CC",2.27,116,8592880.7
"157",2021-02-17,"NO",10.33,4.8,39103285.3
"158",2021-02-17,"MI",4.8,194,18169968
"159",2021-02-17,"CC",2.53,136,9577087.3
"160",2021-02-22,"NO",5.26,178,19911256.6
"161",2021-02-22,"MI",3.93,304,14876661.3
"162",2021-02-22,"CC",1.99,184,7532965.9
"163",2021-02-24,"NO",5.63,228,21311858.3
"164",2021-02-24,"MI",3.69,228,13968162.9
"165",2021-02-24,"CC",1.93,308,7305841.3
"166",2021-03-01,"NO",6.74,207,25513663.4
"167",2021-03-01,"MI",3.72,232,14081725.2
"168",2021-03-01,"CC",1.85,204,7003008.5
"169",2021-03-03,"NO",7.28,196,27557784.8
"170",2021-03-03,"MI",3.83,304,14498120.3
"171",2021-03-03,"CC",1.84,232,6965154.4
"172",2021-03-08,"NO",5.01,954,18964904.1
"173",2021-03-08,"MI",3.48,480,13173226.8
"174",2021-03-08,"CC",1.74,304,6586613.4
"175",2021-03-10,"NO",6.5,350,24605165
"176",2021-03-10,"MI",3.5,840,13248935
"177",2021-03-10,"CC",1.68,84,6359488.8
"178",2021-03-15,"NO",5.04,360,19078466.4
"179",2021-03-15,"MI",3.49,164,13211080.9
"180",2021-03-15,"CC",1.66,172,6283780.6
"181",2021-03-17,"NO",6.79,342,25702933.9
"182",2021-03-17,"MI",5.36,700,20289797.6
"183",2021-03-17,"CC",2.46,344,9312108.6
"184",2021-03-22,"NO",5.16,356,19532715.6
"185",2021-03-22,"MI",3.77,248,14270995.7
"186",2021-03-22,"CC",2,68,7570820
"187",2021-03-24,"NO",5.35,282,20251943.5
"188",2021-03-24,"MI",3.62,258,13703184.2
"189",2021-03-24,"CC",1.8,312,6813738
"190",2021-03-29,"NO",5.53,213,20933317.3
"191",2021-03-29,"MI",3.97,220,15028077.7
"192",2021-03-29,"CC",2.01,186,7608674.1
"193",2021-03-31,"NO",5.32,222,20138381.2
"194",2021-03-31,"MI",3.94,228,14914515.4
"195",2021-03-31,"CC",1.95,292,7381549.5
"196",2021-04-07,"NO",5.34,272,20214089.4
"197",2021-04-07,"MI",3.43,284,12983956.3
"198",2021-04-07,"CC",1.79,680,6775883.9
"199",2021-04-05,"NO",4.99,176,18889195.9
"200",2021-04-05,"MI",3.49,200,13211080.9
"201",2021-04-05,"CC",1.9,216,7192279
"202",2021-04-14,"NO",5.7,164,21576837
"203",2021-04-14,"MI",3.4,280,12870394
"204",2021-04-14,"CC",1.84,505,6965154.4
"205",2021-04-12,"NO",5.4,256,20441214
"206",2021-04-12,"MI",3.68,168,13930308.8
"207",2021-04-12,"CC",1.81,224,6851592.1
"208",2021-04-21,"NO",5.6,234,21198296
"209",2021-04-21,"MI",3.35,68,12681123.5
"210",2021-04-21,"CC",1.74,60,6586613.4
"211",2021-04-19,"NO",5.18,206,19608423.8
"212",2021-04-19,"MI",3.41,212,12908248.1
"213",2021-04-19,"CC",1.83,264,6927300.3
