"","date","sl","site_id","target","ave_copies","log_copies"
"1","2020-12-22","SL","A","N1",555206.072619048,5.74445420760984
"2","2020-12-22","SL","A","N2",168859.80577381,5.22752628540261
"3","2020-12-22","SL","E","N1",559080.342261905,5.74747422236551
"4","2020-12-22","SL","E","N2",127738.59047619,5.10632211965201
"5","2020-12-22","SL","F","N1",574482.666964286,5.75927692988188
"6","2020-12-22","SL","F","N2",258172.602083333,5.41191015196849
"7","2020-12-22","SL","G","N1",71.4285714285714,1.85387196432176
"8","2020-12-22","SL","G","N2",71.4285714285714,1.85387196432176
"9","2020-12-22","SL","H","N1",13457.9395238095,4.12897857237389
"10","2020-12-22","SL","H","N2",71.4285714285714,1.85387196432176
"11","2020-12-22","SL","I","N1",71.4285714285714,1.85387196432176
"12","2020-12-22","SL","I","N2",71.4285714285714,1.85387196432176
"13","2020-12-22","SL","J","N1",39921.0561309524,4.60120202223902
"14","2020-12-22","SL","J","N2",4345.74321428571,3.63806406070666
"15","2020-12-22","SL","K","N1",47672.3235714286,4.67826632015983
"16","2020-12-22","SL","K","N2",8586.81928571429,3.93383232303114
"17","2020-12-22","SL","L","N1",286113.938214286,5.45653901524009
"18","2020-12-22","SL","L","N2",106206.972142857,5.02615302770383
"19","2020-12-29","SL","A","N1",55284.3586904762,4.7426022760557
"20","2020-12-29","SL","A","N2",32064.2580357143,4.50602119483105
"21","2020-12-29","SL","E","N1",30038.8813690476,4.47768375575239
"22","2020-12-29","SL","E","N2",15180.5808333333,4.18128838867973
"23","2020-12-29","SL","F","N1",71.4285714285714,1.85387196432176
"24","2020-12-29","SL","F","N2",71.4285714285714,1.85387196432176
"25","2020-12-29","SL","G","N1",26404.3261309524,4.42167508826673
"26","2020-12-29","SL","G","N2",16693.9401190476,4.2225588513592
"27","2020-12-29","SL","H","N1",15592.8016071429,4.19292415323951
"28","2020-12-29","SL","H","N2",21785.5166666667,4.33816786414882
"29","2020-12-29","SL","I","N1",24501.1519047619,4.38918650290011
"30","2020-12-29","SL","I","N2",17108.2475,4.23320552444114
"31","2020-12-29","SL","J","N1",2404.81809523809,3.38108223113725
"32","2020-12-29","SL","J","N2",3203.52755952381,3.50562846452193
"33","2020-12-29","SL","K","N1",11468.6048214286,4.05951058832769
"34","2020-12-29","SL","K","N2",24938.0131547619,4.39686184969202
"35","2020-12-29","SL","L","N1",94455.0652380952,4.97522525231577
"36","2020-12-29","SL","L","N2",128179.7025,5.10781925926897
"37","2021-01-05","SL","A","N1",2007109.94339286,6.30257116247307
"38","2021-01-05","SL","A","N2",372195.682559524,5.57077133104233
"39","2021-01-05","SL","E","N1",138641.974166667,5.14189473380558
"40","2021-01-05","SL","E","N2",36054.6741666667,4.5569615751082
"41","2021-01-05","SL","F","N1",15060050.6083333,7.17782643128586
"42","2021-01-05","SL","F","N2",2855432.28220238,6.45567186514356
"43","2021-01-05","SL","G","N1",71.4285714285714,1.85387196432176
"44","2021-01-05","SL","G","N2",3689.57642857143,3.56697651106613
"45","2021-01-05","SL","H","N1",47223.8572619048,4.67416145752339
"46","2021-01-05","SL","H","N2",14847.0475,4.17164009796672
"47","2021-01-05","SL","I","N1",17310.7393452381,4.23831561707817
"48","2021-01-05","SL","I","N2",15109.0582738095,4.17923739622298
"49","2021-01-05","SL","J","N1",10316.749702381,4.01354289412669
"50","2021-01-05","SL","J","N2",71.4285714285714,1.85387196432176
"51","2021-01-05","SL","K","N1",71.4285714285714,1.85387196432176
"52","2021-01-05","SL","K","N2",71.4285714285714,1.85387196432176
"53","2021-01-05","SL","L","N1",8573.25321428572,3.93314565096843
"54","2021-01-05","SL","L","N2",71.4285714285714,1.85387196432176
"55","2021-01-12","SL","A","N1",10934.20375,4.03878716235563
"56","2021-01-12","SL","A","N2",11002.4913690476,4.04149103655091
"57","2021-01-12","SL","E","N1",160275.189107143,5.20486629797592
"58","2021-01-12","SL","E","N2",270221.414880952,5.43171976362048
"59","2021-01-12","SL","F","N1",10084.1174404762,4.00363789486377
"60","2021-01-12","SL","F","N2",12238.3230357143,4.08772191239851
"61","2021-01-12","SL","G","N1",4505.58958333333,3.65375162906304
"62","2021-01-12","SL","G","N2",6132.07083333333,3.78760716287316
"63","2021-01-12","SL","H","N1",214435.716666667,5.33129712364836
"64","2021-01-12","SL","H","N2",333895.557857143,5.52361064124376
"65","2021-01-12","SL","I","N1",9776.86744047619,3.99019972684892
"66","2021-01-12","SL","I","N2",19768.3019642857,4.29596936636921
"67","2021-01-12","SL","J","N1",4201.69392857143,3.62342441314042
"68","2021-01-12","SL","J","N2",11564.4014880952,4.06312316091608
"69","2021-01-12","SL","K","N1",365296.933690476,5.56264602675094
"70","2021-01-12","SL","K","N2",382156.465,5.58224121101003
"71","2021-01-12","SL","L","N1",71.4285714285714,1.85387196432176
"72","2021-01-12","SL","L","N2",71.4285714285714,1.85387196432176
"73","2021-01-12","SL","Y","N1",71.4285714285714,1.85387196432176
"74","2021-01-12","SL","Y","N2",71.4285714285714,1.85387196432176
"75","2021-01-20","SL","A","N1",68431.4295833333,4.83525561282501
"76","2021-01-20","SL","A","N2",33456.8307142857,4.52448479889515
"77","2021-01-20","SL","E","N1",13027.4227380952,4.11485850617053
"78","2021-01-20","SL","E","N2",5587.72023809524,3.74723465404683
"79","2021-01-20","SL","F","N1",71.4285714285714,1.85387196432176
"80","2021-01-20","SL","F","N2",71.4285714285714,1.85387196432176
"81","2021-01-20","SL","G","N1",71.4285714285714,1.85387196432176
"82","2021-01-20","SL","G","N2",71.4285714285714,1.85387196432176
