"","date","sample","ave_copies","log_copies","description","type","basin","num_residents","est_num_res","manhole_id","lat","long","normal_copies","log_normal_copies"
"34",2021-01-12,"SL_J",7883.04770833333,3.89669415492813,"shoal_creek","general","NO",250,250,"H12-71",33.931772,-83.350196,31.5321908333333,1.49875414625609
"35",2021-01-12,"SL_K",373726.699345238,5.5725541253158,"morningside","nursing_home","CC",66,66,"I13-177",33.923584,-83.328233,5662.52574765512,3.75301018977393
"36",2021-01-12,"SL_L",71.4285714285714,1.85387196432176,"orchard","nursing_home","MI",85,85,"G7-285",33.947296,-83.434387,0.840336134453781,-0.0755469613925308
"37",2021-01-12,"SL_Y",71.4285714285714,1.85387196432176,"brumby_hall","dorm","MI",1000,1000,"Campus",NA,NA,0.0714285714285714,-1.14612803567824
"38",2021-01-20,"SL_A",50944.1301488095,4.70709415123077,"hull_hoyt","housing_authority","NO",337,337,"F10-268",33.96396,-83.379651,151.169525664123,2.17946425035944
"39",2021-01-20,"SL_E",9307.57148809524,3.96883638056231,"nellieb","housing_authority","NO",583,583,"F12-99",33.959994,-83.3532,15.9649596708323,1.2031678258033
"40",2021-01-20,"SL_F",71.4285714285714,1.85387196432176,"towneview","housing_authority","NO",393,393,"G11-103",33.948801,-83.365004,0.181752090149037,-0.740520586053665
"41",2021-01-20,"SL_G",71.4285714285714,1.85387196432176,"broad_909","student_apt","NO",1000,1000,"F11-386",33.95909,-83.368494,0.0714285714285714,-1.14612803567824
"42",2021-01-20,"SL_H",59099.6681845238,4.77158504253887,"riverbend","student_apt","CC",4000,1000,"I11-39",33.91681,-83.366782,14.774917046131,1.16952505121091
"43",2021-01-20,"SL_I",103798.364940476,5.01619051244383,"whitehall","general","CC",675,675,"J12-162",33.908466,-83.352802,153.775355467372,2.18688673961281
"44",2021-01-20,"SL_J",71.4285714285714,1.85387196432176,"shoal_creek","general","NO",250,250,"H12-71",33.931772,-83.350196,0.285714285714286,-0.544068044350276
"45",2021-01-20,"SL_K",5904.86535714286,3.77120999927103,"morningside","nursing_home","CC",66,66,"I13-177",33.923584,-83.328233,89.4676569264069,1.95166606372916
"46",2021-01-20,"SL_L",59459.645297619,4.7742223141231,"orchard","nursing_home","MI",85,85,"G7-285",33.947296,-83.434387,699.525238795518,2.84480338840881
"47",2021-01-20,"SL_y",71.4285714285714,1.85387196432176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2021-01-20,"SL_Y",7343.16413265306,3.86588323556297,"brumby_hall","dorm","MI",1000,1000,"Campus",NA,NA,7.34316413265306,0.865883235562967
"49",2021-01-26,"SL_A",115131.61,5.06119457787693,"hull_hoyt","housing_authority","NO",337,337,"F10-268",33.96396,-83.379651,341.636824925816,2.53356467700559
"50",2021-01-26,"SL_E",89390.9936904762,4.95129376502006,"nellieb","housing_authority","NO",583,583,"F12-99",33.959994,-83.3532,153.329320223801,2.18562521026104
"51",2021-01-26,"SL_F",71.4285714285714,1.85387196432176,"towneview","housing_authority","NO",393,393,"G11-103",33.948801,-83.365004,0.181752090149037,-0.740520586053665
"52",2021-01-26,"SL_G",7938.03026785714,3.89971275054724,"broad_909","student_apt","NO",1000,1000,"F11-386",33.95909,-83.368494,7.93803026785714,0.899712750547244
"53",2021-01-26,"SL_H",82569.049672619,4.9168172861181,"riverbend","student_apt","CC",4000,1000,"I11-39",33.91681,-83.366782,20.6422624181548,1.31475729479014
"54",2021-01-26,"SL_I",3915.30770833333,3.59276589941561,"whitehall","general","CC",675,675,"J12-162",33.908466,-83.352802,5.80045586419753,0.763462126584588
"55",2021-01-26,"SL_J",71.4285714285714,1.85387196432176,"shoal_creek","general","NO",250,250,"H12-71",33.931772,-83.350196,0.285714285714286,-0.544068044350276
"56",2021-01-26,"SL_K",28756.9499107143,4.45874282096008,"morningside","nursing_home","CC",66,66,"I13-177",33.923584,-83.328233,435.71136228355,2.63919888541821
"57",2021-01-26,"SL_L",71.4285714285714,1.85387196432176,"orchard","nursing_home","MI",85,85,"G7-285",33.947296,-83.434387,0.840336134453781,-0.0755469613925308
"58",2021-01-26,"SL_Y",2141.49389880952,3.33071684141429,"brumby_hall","dorm","MI",1000,1000,"Campus",NA,NA,2.14149389880952,0.330716841414292
"59",2021-02-02,"SL_A",190512.72860119,5.27992399721157,"hull_hoyt","housing_authority","NO",337,337,"F10-268",33.96396,-83.379651,565.319669439734,2.75229409634023
"60",2021-02-02,"SL_E",82677.4521130952,4.9173870844251,"nellieb","housing_authority","NO",583,583,"F12-99",33.959994,-83.3532,141.813811514743,2.15171852966608
"61",2021-02-02,"SL_F",71.4285714285714,1.85387196432176,"towneview","housing_authority","NO",393,393,"G11-103",33.948801,-83.365004,0.181752090149037,-0.740520586053665
"62",2021-02-02,"SL_G",60829.8740476191,4.78411691722767,"broad_909","student_apt","NO",1000,1000,"F11-386",33.95909,-83.368494,60.8298740476191,1.78411691722767
"63",2021-02-02,"SL_H",551357.966279762,5.74143365384704,"riverbend","student_apt","CC",4000,1000,"I11-39",33.91681,-83.366782,137.83949156994,2.13937366251907
"64",2021-02-02,"SL_I",13453.5991964286,4.12883848523379,"whitehall","general","CC",675,675,"J12-162",33.908466,-83.352802,19.9312580687831,1.29953471240276
"65",2021-02-02,"SL_J",71.4285714285714,1.85387196432176,"shoal_creek","general","NO",250,250,"H12-71",33.931772,-83.350196,0.285714285714286,-0.544068044350276
"66",2021-02-02,"SL_K",977853.354196429,5.9902737297993,"morningside","nursing_home","CC",66,66,"I13-177",33.923584,-83.328233,14815.9599120671,4.17072979425743
"67",2021-02-02,"SL_L",18335.6376190476,4.26329601708468,"orchard","nursing_home","MI",85,85,"G7-285",33.947296,-83.434387,215.713383753501,2.33387709137039
"68",2021-02-02,"SL_Y",21902.4273511905,4.34049224848442,"brumby_hall","dorm","MI",1000,1000,"Campus",NA,NA,21.9024273511905,1.34049224848442
