"","wrf","collection_num","date","target","mean_copy_num_uL_rxn","mean_copy_num_L","sd_L","mean_total_copies","sd_total_copies"
"58","MI","26",2020-11-04,"N1",0.0652739161111111,1165605.64484127,1008832.18134096,15045926850371.6,13022256088013.3
"59","NO","26",2020-11-04,"N1",0.0312440307777778,557929.121031746,960175.688907912,10369873227559.9,17846173993835.1
"60","CC","27",2020-11-09,"N1",0.0168962155555556,301718.134920635,516405.243506144,1827402952175.87,3127688916512.95
"61","MI","27",2020-11-09,"N1",2e-04,3571.42857142857,0,47317625000,0
"62","NO","27",2020-11-09,"N1",0.0238267088888889,425476.944444444,730761.789485621,7650372231279.86,13139606681299.6
"63","CC","28",2020-11-11,"N1",0.0146439974444444,261499.954365079,446745.311395943,1564017576759.92,2671960387353.88
"64","MI","28",2020-11-11,"N1",0.0359182377777778,641397.103174603,552407.070373915,9226213831647.06,7946131543403.66
"65","NO","28",2020-11-11,"N2",0.00980204455555556,175036.509920635,148554.369222211,3683972349903.81,3126605923073.81
"66","CC","29",2020-11-16,"N1",0.0140263624444444,250470.757936508,427642.182815,1535977909116.71,2622457612304.56
"67","MI","29",2020-11-16,"N1",0.0269461827777778,481181.83531746,827245.490707764,6302288038052.57,10834863201311.1
"68","NO","29",2020-11-16,"N1",0.0148715563333333,265563.505952381,453783.589204326,4845385740143.91,8279588433495.95
"69","CC","30",2020-11-18,"N2",0.0119294077777778,213025.138888889,197676.146787713,1306347735422.25,1212222125754.92
"70","MI","30",2020-11-18,"N2",0.00836083211111111,149300.573412698,252410.283008643,1898950648903.27,3210400735596.59
"71","NO","30",2020-11-18,"N1",0.0300509328888889,536623.801587302,923273.793158649,10441093278500.3,17964145025713.9
"72","CC","31",2020-11-23,"N1",0.0141672724444444,252987.007936508,432000.455659545,1599291448020.6,2730949070913.19
"73","MI","31",2020-11-23,"N1",0.148329742,2648745.39285714,3064875.38099416,33789599192829,39098099416815.9
"74","NO","31",2020-11-23,"N1",0.033682591,601474.839285714,1035599.08537586,10268498209926.2,17679953773314.7
