run_date,run_num,sample_date,collection_num,target,sample_id,ct,slope ,y-intercept,copy_num_uL_rxn,,,
14-Jul-21,106,12-Jul-21,95,N1,MI_95_D,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,MI_95_D,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,CC_95_D,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,CC_95_D,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,CC_95_D,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,NO_95_E,37.7484399,-3.5293,36.046,0.329326557,,,
14-Jul-21,106,12-Jul-21,95,N1,NO_95_E,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,NO_95_E,37.48580694,-3.5293,36.046,0.390878499,,,
14-Jul-21,106,12-Jul-21,95,N1,MI_95_E,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,MI_95_E,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,MI_95_E,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,CC_95_E,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,CC_95_E,37.71095623,-3.5293,36.046,0.337479552,,,
14-Jul-21,106,12-Jul-21,95,N1,CC_95_E,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,NO_95_F,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,NO_95_F,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,NO_95_F,37.77057804,-3.5293,36.046,0.32460416,,,
14-Jul-21,106,12-Jul-21,95,N1,MI_95_F,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,MI_95_F,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,MI_95_F,37.60900825,-3.5293,36.046,0.360689615,,,
14-Jul-21,106,12-Jul-21,95,N1,CC_95_F,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,CC_95_F,Undetermined,-3.5293,36.046,0.004,,,
14-Jul-21,106,12-Jul-21,95,N1,CC_95_F,37.6680037,-3.5293,36.046,0.347070525,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_A,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_A,37.88490279,-3.5293,36.046,0.301273577,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_A,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_A,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_A,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_A,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_A,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_A,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_A,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_B,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_B,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_B,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_B,37.64756936,-3.5293,36.046,0.351728569,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_B,37.62751245,-3.5293,36.046,0.356361367,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_B,Undetermined,-3.5293,36.046,0.004,,,
