sample_id,target,ct
CC_18_A,N2,40
CC_18_A,N2,40
CC_18_A,N2,40
CC_18_B,N2,40
CC_18_B,N2,40
MI_19_B,N2,35.81874466
NO_19_A,N2,35.87633514
MI_19_A,N2,36.2165451
MI_19_A,N2,36.22134781
NO_19_A,N2,36.42221451
MI_19_B,N2,36.8588028
MI_19_B,N2,37.07063293
NO_19_B,N2,37.10762787
MI_19_A,N2,40
MI_19_A,N2,40
MI_19_A,N2,40
MI_19_B,N2,40
NO_19_A,N2,40
NO_19_A,N2,40
NO_19_B,N2,40
NO_19_B,N2,40
MI_19_A,N2,40
MI_19_B,N2,40
MI_19_B,N2,40
NO_19_A,N2,40
NO_19_A,N2,40
NO_19_B,N2,40
NO_19_B,N2,40
NO_19_B,N2,40
CC_19_A,N2,40
CC_19_A,N2,40
CC_19_A,N2,40
CC_19_B,N2,40
CC_19_B,N2,40
CC_19_B,N2,40
MI_20_B,N2,36.94723511
MI_20_A,N2,37.00232315
MI_20_A,N2,40
MI_20_A,N2,40
MI_20_B,N2,40
MI_20_B,N2,40
NO_20_A,N2,40
NO_20_A,N2,40
NO_20_A,N2,40
NO_20_B,N2,40
NO_20_B,N2,40
NO_20_B,N2,40
CC_20_A,N2,40
CC_20_A,N2,40
CC_20_A,N2,40
CC_20_B,N2,40
CC_20_B,N2,40
CC_20_B,N2,40
CC_21_A,N2,36.2387085
CC_21_A,N2,36.30294418
NO_21_A,N2,36.9985466
NO_21_B,N2,40
NO_21_B,N2,40
NO_21_B,N2,40
CC_21_A,N2,40
CC_21_B,N2,40
CC_21_B,N2,40
CC_21_B,N2,40
MI_21_A,N2,40
MI_21_A,N2,40
MI_21_A,N2,40
MI_21_B,N2,40
MI_21_B,N2,40
MI_21_B,N2,40
NO_21_A,N2,40
NO_21_A,N2,40
NO_22_B,N2,34.81875992
NO_22_A,N2,35.9404068
NO_22_B,N2,35.94340134
NO_22_C,N2,36.24595261
NO_22_A,N2,36.93712616
NO_22_C,N2,37.05121231
NO_22_A,N2,40
CC_22_A,N2,40
CC_22_A,N2,40
CC_22_A,N2,40
NO_22_B,N2,40
CC_22_B,N2,40
CC_22_B,N2,40
CC_22_B,N2,40
