date,cases_cum_clarke,new_cases_clarke,7_day_ave_clarke,cases_per_100000_clarke
8/27/2020,2691,62,45.6,2113.4
8/28/2020,2737,46,45,2149.5
8/29/2020,2789,52,45.1,2190.4
8/30/2020,2842,53,48.7,2232
8/31/2020,2916,74,57.9,2290.1
9/1/2020,3070,154,72.3,2411.1
9/2/2020,3149,79,74.3,2473.1
9/3/2020,3322,173,90.1,2609
9/4/2020,3410,88,96.1,2678.1
9/5/2020,3687,277,128.3,2895.6
9/6/2020,3750,63,129.7,2945.1
9/7/2020,3788,38,124.6,2974.9
9/8/2020,3994,206,132,3136.7
