run_date,run_num,sample_date,collection_num,sample_id,target,ct,slope ,y-intercept,copy_num_uL_rxn
20-Jul-20,16,14-Jul-20,9,NO_9_B,N2,Undetermined,-3.3084,32.416,0.0002
20-Jul-20,16,14-Jul-20,9,NO_9_B,N2,Undetermined,-3.3084,32.416,0.0002
17-Jul-20,14,14-Jul-20,9,NO_9_A,N2,36.85206604,-3.3084,32.416,0.045619512
17-Jul-20,14,14-Jul-20,9,NO_9_A,N2,36.75882721,-3.3084,32.416,0.048678041
20-Jul-20,16,14-Jul-20,9,NO_9_A,N2,36.43680573,-3.3084,32.416,0.060907054
20-Jul-20,16,14-Jul-20,9,MI_9_A,N2,35.52126694,-3.3084,32.416,0.115185864
20-Jul-20,16,14-Jul-20,9,MI_9_A,N2,35.49347305,-3.3084,32.416,0.117435713
20-Jul-20,16,14-Jul-20,9,NO_9_B,N2,34.7583313,-3.3084,32.416,0.195886635
23-Jul-20,18,21-Jul-20,10,MI_10_B,N2,Undetermined,-3.3084,32.416,0.0002
23-Jul-20,18,21-Jul-20,10,NO_10_A,N2,Undetermined,-3.3084,32.416,0.0002
23-Jul-20,18,21-Jul-20,10,NO_10_A,N2,Undetermined,-3.3084,32.416,0.0002
23-Jul-20,18,21-Jul-20,10,NO_10_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,21-Jul-20,10,CC_10_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,21-Jul-20,10,CC_10_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,21-Jul-20,10,CC_10_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,21-Jul-20,10,CC_10_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,21-Jul-20,10,CC_10_A,N2,37.77200699,-3.3084,32.416,0.024048525
23-Jul-20,18,21-Jul-20,10,NO_10_A,N2,37.08953857,-3.3084,32.416,0.038669804
28-Oct-20,37,21-Jul-20,10,CC_10_A,N2,36.97867584,-3.3084,32.416,0.041771632
23-Jul-20,18,21-Jul-20,10,MI_10_A,N2,36.36291885,-3.3084,32.416,0.064121063
23-Jul-20,18,21-Jul-20,10,NO_10_B,N2,36.29841232,-3.3084,32.416,0.067065399
23-Jul-20,18,21-Jul-20,10,NO_10_B,N2,36.11449814,-3.3084,32.416,0.076223446
23-Jul-20,18,21-Jul-20,10,MI_10_A,N2,35.96951675,-3.3084,32.416,0.084316154
23-Jul-20,18,21-Jul-20,10,MI_10_A,N2,34.80694962,-3.3084,32.416,0.189369219
