collection_num,sample_id,target,POS_NEG
98,MI_98_C,N1,pos
98,CC_98_C,N1,pos
98,CC_98_C,N1,neg
98,CC_98_C,N1,pos
98,NO_98_D,N1,neg
98,NO_98_D,N1,pos
98,NO_98_D,N1,pos
98,CC_98_D,N1,pos
98,CC_98_D,N1,pos
98,CC_98_D,N1,pos
98,NO_98_E,N1,pos
98,NO_98_E,N1,neg
98,NO_98_E,N1,neg
98,MI_98_E,N1,pos
98,MI_98_E,N1,pos
98,MI_98_E,N1,pos
98,CC_98_E,N1,pos
98,CC_98_E,N1,pos
98,CC_98_E,N1,pos
98,NO_98_F,N1,neg
98,NO_98_F,N1,neg
98,NO_98_F,N1,pos
98,MI_98_F,N1,neg
98,MI_98_F,N1,pos
98,MI_98_F,N1,neg
98,CC_98_F,N1,neg
98,CC_98_F,N1,neg
98,CC_98_F,N1,pos
98,MI_98_D,N1,pos
98,MI_98_D,N1,pos
98,MI_98_D,N1,pos
93,NO_93_A,N2,neg
93,NO_93_A,N2,neg
93,NO_93_A,N2,neg
93,MI_93_A,N2,neg
93,MI_93_A,N2,neg
93,MI_93_A,N2,neg
93,NO_93_B,N2,neg
93,NO_93_B,N2,neg
93,NO_93_B,N2,neg
93,MI_93_B,N2,neg
93,MI_93_B,N2,neg
93,MI_93_B,N2,neg
93,NO_93_C,N2,neg
93,NO_93_C,N2,neg
93,NO_93_C,N2,neg
93,MI_93_C,N2,neg
93,MI_93_C,N2,neg
93,MI_93_C,N2,neg
93,CC_93_A,N2,neg
93,CC_93_A,N2,neg
93,CC_93_A,N2,neg
93,CC_93_B,N2,neg
93,CC_93_B,N2,neg
93,CC_93_B,N2,neg
93,CC_93_C,N2,pos
93,CC_93_C,N2,neg
93,CC_93_C,N2,pos
95,NO_95_A,N2,neg
95,NO_95_A,N2,pos
95,NO_95_A,N2,neg
95,MI_95_A,N2,neg
95,MI_95_A,N2,neg
95,MI_95_A,N2,neg
95,CC_95_A,N2,neg
95,CC_95_A,N2,neg
95,CC_95_A,N2,neg
95,NO_95_B,N2,neg
95,NO_95_B,N2,neg
95,NO_95_B,N2,neg
95,MI_95_B,N2,neg
95,MI_95_B,N2,neg
95,MI_95_B,N2,neg
95,CC_95_B,N2,neg
95,CC_95_B,N2,neg
95,CC_95_B,N2,neg
95,NO_95_C,N2,neg
95,NO_95_C,N2,neg
95,NO_95_C,N2,neg
95,MI_95_C,N2,neg
95,MI_95_C,N2,neg
95,MI_95_C,N2,neg
95,CC_95_C,N2,pos
95,CC_95_C,N2,neg
95,CC_95_C,N2,neg
95,NO_95_D,N2,pos
95,NO_95_D,N2,neg
95,NO_95_D,N2,neg
95,MI_95_D,N2,neg
95,MI_95_D,N2,neg
95,MI_95_D,N2,neg
95,CC_95_D,N2,neg
95,CC_95_D,N2,neg
95,CC_95_D,N2,pos
95,NO_95_E,N2,neg
95,NO_95_E,N2,neg
95,NO_95_E,N2,neg
95,MI_95_E,N2,neg
95,MI_95_E,N2,neg
95,MI_95_E,N2,neg
95,CC_95_E,N2,neg
95,CC_95_E,N2,neg
95,CC_95_E,N2,neg
95,NO_95_F,N2,neg
95,NO_95_F,N2,neg
95,NO_95_F,N2,neg
95,MI_95_F,N2,pos
95,MI_95_F,N2,neg
95,MI_95_F,N2,neg
95,CC_95_F,N2,neg
95,CC_95_F,N2,neg
95,CC_95_F,N2,neg
96,NO_96_A,N2,neg
96,NO_96_A,N2,neg
96,NO_96_A,N2,neg
96,MI_96_A,N2,neg
96,MI_96_A,N2,neg
96,MI_96_A,N2,neg
96,CC_96_A,N2,neg
96,CC_96_A,N2,neg
96,CC_96_A,N2,neg
96,NO_96_B,N2,neg
96,NO_96_B,N2,neg
96,NO_96_B,N2,neg
96,MI_96_B,N2,neg
96,MI_96_B,N2,neg
96,MI_96_B,N2,neg
96,CC_96_B,N2,neg
96,CC_96_B,N2,neg
96,CC_96_B,N2,neg
96,NO_96_C,N2,neg
96,NO_96_C,N2,neg
96,NO_96_C,N2,neg
96,MI_96_C,N2,neg
96,MI_96_C,N2,neg
96,MI_96_C,N2,neg
96,CC_96_C,N2,neg
96,CC_96_C,N2,neg
96,CC_96_C,N2,neg
96,NO_96_D,N2,neg
96,NO_96_D,N2,neg
96,NO_96_D,N2,neg
96,MI_96_D,N2,neg
96,MI_96_D,N2,neg
96,MI_96_D,N2,neg
96,CC_96_D,N2,neg
96,CC_96_D,N2,pos
96,CC_96_D,N2,neg
96,NO_96_E,N2,neg
96,NO_96_E,N2,neg
96,NO_96_E,N2,neg
96,MI_96_E,N2,neg
96,MI_96_E,N2,neg
96,MI_96_E,N2,neg
96,CC_96_E,N2,neg
96,CC_96_E,N2,neg
96,CC_96_E,N2,neg
96,NO_96_F,N2,neg
96,NO_96_F,N2,neg
96,NO_96_F,N2,neg
96,MI_96_F,N2,neg
96,MI_96_F,N2,neg
96,MI_96_F,N2,neg
96,CC_96_F,N2,neg
96,CC_96_F,N2,neg
96,CC_96_F,N2,neg
97,NO_97_A,N2,neg
97,NO_97_A,N2,neg
97,NO_97_A,N2,neg
97,MI_97_A,N2,neg
97,MI_97_A,N2,neg
97,MI_97_A,N2,neg
97,CC_97_A,N2,neg
97,CC_97_A,N2,neg
97,CC_97_A,N2,pos
97,NO_97_B,N2,neg
97,NO_97_B,N2,neg
97,NO_97_B,N2,neg
97,MI_97_B,N2,neg
97,MI_97_B,N2,neg
97,MI_97_B,N2,neg
97,CC_97_B,N2,pos
97,CC_97_B,N2,pos
97,CC_97_B,N2,neg
97,NO_97_C,N2,pos
97,NO_97_C,N2,neg
97,NO_97_C,N2,neg
97,MI_97_C,N2,neg
97,MI_97_C,N2,neg
97,MI_97_C,N2,neg
97,CC_97_C,N2,pos
97,CC_97_C,N2,neg
97,CC_97_C,N2,neg
97,NO_97_D,N2,neg
97,NO_97_D,N2,neg
97,NO_97_D,N2,neg
97,MI_97_D,N2,neg
97,MI_97_D,N2,neg
97,MI_97_D,N2,neg
97,CC_97_D,N2,neg
97,CC_97_D,N2,pos
97,CC_97_D,N2,neg
97,NO_97_E,N2,neg
97,NO_97_E,N2,neg
97,NO_97_E,N2,pos
97,MI_97_E,N2,neg
97,MI_97_E,N2,neg
97,MI_97_E,N2,neg
97,CC_97_E,N2,pos
97,CC_97_E,N2,pos
97,CC_97_E,N2,neg
