rep,date,sample,target,ct,slope,intercept,copies_ul_rxn
1,10/28/2020,SL_Z_24,N1,33.69960403,-2.9612,31.349,0.16076771
2,10/28/2020,SL_B_48,N1,34.25880432,-2.9612,31.349,0.104077384
2,10/28/2020,SL_B_48,N1,32.93008804,-2.9612,31.349,0.29245907
2,10/28/2020,SL_B_48,N1,33.24665451,-2.9612,31.349,0.22864426
2,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_Z_24,N1,34.46736908,-2.9612,31.349,0.088496044
3,10/28/2020,SL_Z_24,N1,33.80767441,-2.9612,31.349,0.147809845
3,10/28/2020,SL_Z_24,N1,34.48764038,-2.9612,31.349,0.087112047
1,10/28/2020,SL_B_48,N1,33.67576599,-2.9612,31.349,0.163775508
1,10/28/2020,SL_B_48,N1,33.70088196,-2.9612,31.349,0.160608036
1,10/28/2020,SL_B_48,N1,34.31746292,-2.9612,31.349,0.099436838
1,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_B_24,N1,37.06649017,-2.9612,31.349,0.011727306
2,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_Z_24,N1,31.85451698,-2.9612,31.349,0.674973067
2,10/28/2020,SL_Z_24,N1,32.65656662,-2.9612,31.349,0.36177082
2,10/28/2020,SL_Z_24,N1,31.86335564,-2.9612,31.349,0.670350013
3,10/28/2020,SL_B_48,N1,33.39700317,-2.9612,31.349,0.203417082
3,10/28/2020,SL_B_48,N1,33.38690567,-2.9612,31.349,0.205020532
3,10/28/2020,SL_B_48,N1,33.7440033,-2.9612,31.349,0.155312051
3,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_A_24,N1,35.17346191,-2.9612,31.349,0.051106442
1,10/28/2020,SL_A_24,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_A_24,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_C_24,N1,36.25280762,-2.9612,31.349,0.02207901
1,10/28/2020,SL_C_24,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_C_24,N1,35.94469833,-2.9612,31.349,0.02805617
2,10/28/2020,SL_A_48,N1,36.14730835,-2.9612,31.349,0.02396662
2,10/28/2020,SL_A_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_A_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_C_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_C_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_C_48,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_A_24,N1,35.31018066,-2.9612,31.349,0.045952125
3,10/28/2020,SL_A_24,N1,35.70088577,-2.9612,31.349,0.033912837
3,10/28/2020,SL_A_24,N1,33.95937729,-2.9612,31.349,0.13136303
3,10/28/2020,SL_C_24,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_C_24,N1,35.88453674,-2.9612,31.349,0.029399843
3,10/28/2020,SL_C_24,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_A_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_A_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_A_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_C_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_C_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_C_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_A_24,N1,35.71494675,-2.9612,31.349,0.033544067
2,10/28/2020,SL_A_24,N1,36.33827972,-2.9612,31.349,0.020659299
2,10/28/2020,SL_A_24,N1,33.72831726,-2.9612,31.349,0.157218028
2,10/28/2020,SL_C_24,N1,36.00746155,-2.9612,31.349,0.026719799
2,10/28/2020,SL_C_24,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_C_24,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_A_48,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_A_48,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_A_48,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_C_48,N1,35.48287582,-2.9612,31.349,0.040177812
3,10/28/2020,SL_C_48,N1,34.40274811,-2.9612,31.349,0.093056437
3,10/28/2020,SL_C_48,N1,Undetermined,-2.9612,31.349,0.0002
,11/4/2020,SL_A,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_A,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_A,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_C,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_C,N1,36.76483917,-2.9006,32.027,0.023259496
,11/4/2020,SL_C,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_A,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_A,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_A,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_C,N1,35.73345947,-2.9006,32.027,0.052744224
,11/4/2020,SL_C,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_C,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_A,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_A,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_A,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_C,N1,35.68000031,-2.9006,32.027,0.055030732
,11/4/2020,SL_C,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_C,N1,34.36280823,-2.9006,32.027,0.156572504
,11/4/2020,SL_B,N1,35.70520782,-2.9006,32.027,0.053940484
,11/4/2020,SL_B,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_B,N1,37.08934021,-2.9006,32.027,0.017977386
,11/4/2020,SL_Z,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_Z,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_Z,N1,Undetermined,-2.9006,32.027,0.0002
