run_date,run_num,sample_date,collection_num,target,sample_id,ct,slope ,y-intercept,copy_num_uL_rxn
14-Jul-21,106,12-Jul-21,95,N2,CC_95_D,39.21795425,-3.2505,37.731,0.348775517
14-Jul-21,106,12-Jul-21,95,N2,NO_95_E,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,NO_95_E,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,NO_95_E,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,MI_95_E,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,MI_95_E,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,MI_95_E,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,CC_95_E,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,CC_95_E,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,CC_95_E,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,NO_95_F,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,NO_95_F,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,NO_95_F,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,MI_95_F,39.27742818,-3.2505,37.731,0.334386809
14-Jul-21,106,12-Jul-21,95,N2,MI_95_F,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,MI_95_F,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,CC_95_F,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,CC_95_F,Undetermined,-3.2505,37.731,0.004
14-Jul-21,106,12-Jul-21,95,N2,CC_95_F,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_A,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_A,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_A,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_A,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_A,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_A,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_A,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_A,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_A,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_B,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_B,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_B,Undetermined,-3.2505,37.731,0.004
