date,sample,target,ct,slope,intercept,copies_ul_rxn
12/9/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_C,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
12/16/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
12/16/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
12/16/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
12/16/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_L,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/9/2020,SL_C,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_A,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_A,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_A,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_C,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_C,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_A,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_A,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_C,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_C,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_C,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_B,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_B,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_Z,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_Z,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_Z,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_B,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_B,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_Z,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_Z,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_B,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_B,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_Z,N1,Undetermined,-3.389,34.008,0.0002
12/9/2020,SL_Z,N1,Undetermined,-3.389,34.008,0.0002
