"Assay","R.squared","Slope","Intercept","Low.95","LOD","LOQ","rep2.LOD","rep3.LOD","rep4.LOD","rep5.LOD","rep8.LOD"
"N1",0.955186147908789,-2.8124440947931,32.193469612356,4,NA,5,NA,NA,NA,NA,NA
"N2",0.950267065112721,-2.90766793871908,32.4945276712576,4,NA,13,NA,NA,NA,NA,NA
