collection_num,sample_id,target,ct,cg_num
31,MI_31_B,BCoV,30.98832703,31
31,MI_31_B,BCoV,31.25679398,31
31,MI_31_B,BCoV,31.30877304,31
31,CC_31_B,BCoV,30.98568344,31
31,CC_31_B,BCoV,31.18505287,31
31,CC_31_B,BCoV,31.08101082,31
32,NO_32_B,BCoV,31.02237129,32
32,NO_32_B,BCoV,31.02092361,32
32,NO_32_B,BCoV,30.87227631,32
32,MI_32_B,BCoV,30.05874062,32
32,MI_32_B,BCoV,30.0422821,32
32,MI_32_B,BCoV,30.01513672,32
32,CC_32_B,BCoV,30.69592667,32
32,CC_32_B,BCoV,30.68873024,32
32,CC_32_B,BCoV,30.56535149,32
33,NO_33_B,BCoV,30.15470123,33
33,NO_33_B,BCoV,30.39840508,33
33,NO_33_B,BCoV,30.37007713,33
33,MI_33_B,BCoV,29.77947044,33
33,MI_33_B,BCoV,29.85664749,33
33,MI_33_B,BCoV,29.82076263,33
33,CC_33_B,BCoV,29.92478752,33
33,CC_33_B,BCoV,29.9927845,33
33,CC_33_B,BCoV,30.01337242,33
34,NO_34_B,BCoV,30.74028778,34
34,NO_34_B,BCoV,30.7399559,34
34,NO_34_B,BCoV,30.84937668,34
34,MI_34_B,BCoV,30.37247467,34
34,MI_34_B,BCoV,30.24195862,34
34,MI_34_B,BCoV,30.22231293,34
34,CC_34_B,BCoV,30.62089539,34
34,CC_34_B,BCoV,30.52997017,34
34,CC_34_B,BCoV,30.55801773,34
35,NO_35_B,BCoV,30.77755737,35
35,NO_35_B,BCoV,30.61137581,35
35,NO_35_B,BCoV,30.64884186,35
35,MI_35_B,BCoV,30.74607468,35
35,MI_35_B,BCoV,30.69722366,35
35,MI_35_B,BCoV,30.70165062,35
35,CC_35_B,BCoV,31.77384377,35
35,CC_35_B,BCoV,31.6057148,35
35,CC_35_B,BCoV,31.73577118,35
36,NO_36_B,BCoV,30.43848038,36
36,NO_36_B,BCoV,30.45355797,36
36,NO_36_B,BCoV,30.46929741,36
36,MI_36_B,BCoV,30.50709724,36
36,MI_36_B,BCoV,30.55369568,36
36,MI_36_B,BCoV,30.62906265,36
36,CC_36_B,BCoV,30.80870438,36
36,CC_36_B,BCoV,30.76653671,36
36,CC_36_B,BCoV,30.89224243,36
37,NO_37_B,BCoV,30.73063469,37
37,NO_37_B,BCoV,30.60347557,37
37,NO_37_B,BCoV,30.53655624,37
37,MI_37_B,BCoV,30.58468628,37
37,MI_37_B,BCoV,30.40908241,37
37,MI_37_B,BCoV,30.42736435,37
37,CC_37_B,BCoV,30.93169212,37
37,CC_37_B,BCoV,30.68337631,37
37,CC_37_B,BCoV,30.51382446,37
38,NO_38_B,BCoV,30.42388535,38
38,NO_38_B,BCoV,30.60770607,38
38,NO_38_B,BCoV,30.38133812,38
38,MI_38_B,BCoV,36.35263443,38
38,MI_38_B,BCoV,35.78970337,38
38,MI_38_B,BCoV,35.97608566,38
38,CC_38_B,BCoV,30.49807549,38
38,CC_38_B,BCoV,30.38796043,38
38,CC_38_B,BCoV,30.44308662,38
39,NO_39_B,BCoV,30.1076107,39
39,NO_39_B,BCoV,30.12475395,39
39,NO_39_B,BCoV,30.10681152,39
39,MI_39_B,BCoV,29.93932724,39
39,MI_39_B,BCoV,29.8628788,39
39,MI_39_B,BCoV,29.92581177,39
39,CC_39_B,BCoV,29.87116241,39
39,CC_39_B,BCoV,29.84652901,39
39,CC_39_B,BCoV,29.87727928,39
40,,,,40
41,NO_41_B,BCoV,33.05990982,41
41,NO_41_B,BCoV,32.96976471,41
41,NO_41_B,BCoV,32.74295044,41
41,MI_41_B,BCoV,33.33464432,41
41,MI_41_B,BCoV,33.31480026,41
41,MI_41_B,BCoV,33.31097031,41
41,CC_41_B,BCoV,33.46641922,41
41,CC_41_B,BCoV,33.59391785,41
41,CC_41_B,BCoV,33.61831665,41
42,,,,42
43,,,,43
44,,,,44
45,,,,45
46,,,,46
47,,,,47
48,,,,48
49,NO_49_B,BCoV,30.04598045,49
49,MI_49_B,BCoV,30.0579052,49
49,NO_49_B,BCoV,30.16833115,49
49,MI_49_B,BCoV,30.24517059,49
49,CC_49_B,BCoV,30.41549683,49
49,MI_49_B,BCoV,30.51978874,49
49,CC_49_B,BCoV,30.60385513,49
49,NO_49_B,BCoV,30.67521477,49
49,CC_49_B,BCoV,30.83892441,49
50,MI_50_B,BCoV,29.46949387,50
50,NO_50_B,BCoV,29.93868637,50
50,NO_50_B,BCoV,29.95747757,50
50,MI_50_B,BCoV,30.0241642,50
50,NO_50_B,BCoV,30.06481934,50
50,CC_50_B,BCoV,30.14325523,50
50,MI_50_B,BCoV,30.27494812,50
50,CC_50_B,BCoV,30.48569107,50
50,CC_50_B,BCoV,30.50241852,50
51,NO_51_B,BCoV,33.25882339,51
51,NO_51_B,BCoV,33.39667892,51
51,NO_51_B,BCoV,32.92406082,51
51,MI_51_B,BCoV,33.97120285,51
51,MI_51_B,BCoV,34.19262314,51
51,MI_51_B,BCoV,33.31296539,51
51,CC_51_B,BCoV,34.34879303,51
51,CC_51_B,BCoV,34.27181625,51
51,CC_51_B,BCoV,33.84676743,51
52,NO_52_B,BCoV,32.95623016,52
52,NO_52_B,BCoV,33.00020599,52
52,NO_52_B,BCoV,32.94394302,52
52,MI_52_B,BCoV,32.98529053,52
52,MI_52_B,BCoV,33.59724808,52
52,MI_52_B,BCoV,32.62799072,52
52,CC_52_B,BCoV,33.83961487,52
52,CC_52_B,BCoV,33.89715576,52
52,CC_52_B,BCoV,33.34224319,52
53,NO_53_B,BCoV,31.93785858,53
53,NO_53_B,BCoV,31.98681259,53
53,NO_53_B,BCoV,31.54013443,53
53,MI_53_B,BCoV,32.72548294,53
53,MI_53_B,BCoV,33.01839828,53
53,MI_53_B,BCoV,32.33779526,53
53,CC_53_B,BCoV,32.59074402,53
53,CC_53_B,BCoV,32.4720726,53
53,CC_53_B,BCoV,32.18586731,53
54,NO_54_B,BCoV,30.41102982,54
54,NO_54_B,BCoV,30.54122353,54
54,NO_54_B,BCoV,30.82091713,54
54,MI_54_B,BCoV,29.38570213,54
54,MI_54_B,BCoV,29.53589439,54
54,MI_54_B,BCoV,29.58737373,54
54,CC_54_B,BCoV,Undetermined,54
54,CC_54_B,BCoV,Undetermined,54
54,CC_54_B,BCoV,36.97390366,54
55,NO_55_B,BCoV,31.59432983,55
55,NO_55_B,BCoV,31.51068115,55
55,NO_55_B,BCoV,31.29654312,55
55,MI_55_B,BCoV,31.39447212,55
55,MI_55_B,BCoV,31.5042038,55
55,MI_55_B,BCoV,31.24988174,55
55,CC_55_B,BCoV,31.6510582,55
55,CC_55_B,BCoV,31.99415398,55
55,CC_55_B,BCoV,31.30638123,55
56,NO_56_B,BCoV,35.75831223,56
56,NO_56_B,BCoV,37.02914429,56
56,NO_56_B,BCoV,37.9500618,56
56,MI_56_B,BCoV,28.3891201,56
56,MI_56_B,BCoV,28.83375359,56
56,MI_56_B,BCoV,31.68642998,56
56,CC_56_B,BCoV,30.96979713,56
56,CC_56_B,BCoV,28.60501671,56
56,CC_56_B,BCoV,29.85393906,56
57,NO_57_B,BCoV,31.2307415,57
57,NO_57_B,BCoV,30.96564674,57
57,NO_57_B,BCoV,30.46471596,57
57,MI_57_B,BCoV,31.25611496,57
57,MI_57_B,BCoV,31.41003227,57
57,MI_57_B,BCoV,31.25242424,57
57,CC_57_B,BCoV,31.37235641,57
57,CC_57_B,BCoV,31.47598076,57
57,CC_57_B,BCoV,31.36372757,57
58,NO_58_B,BCoV,30.83940506,58
58,NO_58_B,BCoV,30.02309036,58
58,NO_58_B,BCoV,30.48814964,58
58,MI_58_B,BCoV,31.21623421,58
58,MI_58_B,BCoV,30.41810417,58
58,MI_58_B,BCoV,29.96461868,58
58,CC_58_B,BCoV,31.0408802,58
58,CC_58_B,BCoV,30.09222412,58
58,CC_58_B,BCoV,29.82535934,58
59,NO_59_B,BCoV,31.75798416,59
59,NO_59_B,BCoV,31.6269455,59
59,NO_59_B,BCoV,26.80021667,59
59,MI_59_B,BCoV,31.66646194,59
59,MI_59_B,BCoV,31.68498421,59
59,MI_59_B,BCoV,31.41794586,59
59,CC_59_B,BCoV,32.99437332,59
59,CC_59_B,BCoV,32.77472305,59
59,CC_59_B,BCoV,32.47255325,59
60,NO_60_B,BCoV,30.47720146,60
60,NO_60_B,BCoV,30.54938889,60
60,NO_60_B,BCoV,30.27668381,60
60,MI_60_B,BCoV,30.64113045,60
60,MI_60_B,BCoV,31.23614502,60
60,MI_60_B,BCoV,30.44070625,60
60,CC_60_B,BCoV,30.82989502,60
60,CC_60_B,BCoV,32.98212433,60
60,CC_60_B,BCoV,30.74889374,60
61,NO_61_B,BCoV,32.18249512,61
61,NO_61_B,BCoV,31.9709816,61
61,NO_61_B,BCoV,31.34623909,61
61,MI_61_B,BCoV,33.26736832,61
61,MI_61_B,BCoV,31.73770142,61
61,MI_61_B,BCoV,31.50385284,61
61,CC_61_B,BCoV,32.74435806,61
61,CC_61_B,BCoV,31.21111298,61
61,CC_61_B,BCoV,30.94289589,61
62,NO_62_B,BCoV,33.34355545,62
62,NO_62_B,BCoV,33.32962036,62
62,NO_62_B,BCoV,32.85339737,62
62,MI_62_B,BCoV,34.22691727,62
62,MI_62_B,BCoV,34.77464294,62
62,MI_62_B,BCoV,34.15574646,62
62,CC_62_B,BCoV,33.3493576,62
62,CC_62_B,BCoV,33.64205551,62
62,CC_62_B,BCoV,33.04264069,62
63,NO_63_B,BCoV,32.0483017,63
63,NO_63_B,BCoV,32.24316406,63
63,NO_63_B,BCoV,32.05754089,63
63,MI_63_B,BCoV,32.27731705,63
63,MI_63_B,BCoV,32.67987442,63
63,MI_63_B,BCoV,32.33592606,63
63,CC_63_B,BCoV,32.74063873,63
63,CC_63_B,BCoV,Undetermined,63
63,CC_63_B,BCoV,32.98378372,63
64,NO_64_B,BCoV,32.5619278,64
64,NO_64_B,BCoV,32.71550369,64
64,NO_64_B,BCoV,32.48662949,64
64,MI_64_B,BCoV,33.76896667,64
64,MI_64_B,BCoV,34.1464386,64
64,MI_64_B,BCoV,33.84360886,64
64,CC_64_B,BCoV,32.60806274,64
64,CC_64_B,BCoV,32.78692627,64
64,CC_64_B,BCoV,32.41443253,64
66,NO_66_B,BCoV,30.99985313,66
66,NO_66_B,BCoV,31.35368919,66
66,NO_66_B,BCoV,30.91498566,66
66,MI_66_B,BCoV,31.81454468,66
66,MI_66_B,BCoV,32.26677704,66
66,MI_66_B,BCoV,31.9235096,66
66,CC_66_B,BCoV,31.14414978,66
66,CC_66_B,BCoV,31.41154099,66
66,CC_66_B,BCoV,31.00482368,66
67,NO_67_B,BCoV,31.71952438,67
67,NO_67_B,BCoV,32.21398544,67
67,NO_67_B,BCoV,31.58646965,67
67,MI_67_B,BCoV,33.35515213,67
67,MI_67_B,BCoV,34.01473236,67
67,MI_67_B,BCoV,33.5406723,67
67,CC_67_B,BCoV,32.18117142,67
67,CC_67_B,BCoV,32.74930954,67
67,CC_67_B,BCoV,32.23291016,67
68,NO_68_B,BCoV,32.95871735,68
68,NO_68_B,BCoV,33.25925446,68
68,NO_68_B,BCoV,32.98551941,68
68,MI_68_B,BCoV,32.5100708,68
68,MI_68_B,BCoV,33.22615814,68
68,MI_68_B,BCoV,32.87248611,68
68,CC_68_B,BCoV,33.59784317,68
68,CC_68_B,BCoV,33.99219894,68
68,CC_65_B,BCoV,33.47732162,68
69,NO_69_B,BCoV,35.54183578,69
69,NO_69_B,BCoV,35.95220566,69
69,NO_69_B,BCoV,35.3610878,69
69,MI_69_B,BCoV,34.56199646,69
69,MI_69_B,BCoV,35.23411942,69
69,MI_69_B,BCoV,34.86009979,69
69,CC_69_B,BCoV,35.37662888,69
69,CC_69_B,BCoV,35.64304733,69
69,CC_69_B,BCoV,35.35372925,69
70,NO_70_B,BCoV,31.35994148,70
70,NO_70_B,BCoV,31.51166344,70
70,NO_70_B,BCoV,31.16027641,70
70,MI_70_B,BCoV,31.77515221,70
70,MI_70_B,BCoV,32.15501022,70
70,MI_70_B,BCoV,31.80920982,70
70,CC_70_B,BCoV,32.12628555,70
70,CC_70_B,BCoV,32.36607361,70
70,CC_70_B,BCoV,31.97517204,70
71,NO_71_B,BCoV,34.34462357,71
71,NO_71_B,BCoV,34.77950668,71
71,NO_71_B,BCoV,34.32230377,71
71,MI_71_B,BCoV,34.84429932,71
71,MI_71_B,BCoV,35.48828506,71
71,MI_71_B,BCoV,35.13711166,71
71,CC_71_B,BCoV,35.45638275,71
71,CC_71_B,BCoV,35.98315811,71
71,CC_71_B,BCoV,35.48132324,71
