collection_num,target,ct,quantity,log_quant
29,N2,28.7283268,400,2.602059991
29,N2,28.68551254,400,2.602059991
30,N2,25.69013214,400,2.602059991
30,N2,25.77857208,400,2.602059991
30,N2,25.64951324,400,2.602059991
32,N2,26.38086891,400,2.602059991
32,N2,26.32489204,400,2.602059991
32,N2,26.17250633,400,2.602059991
33,N2,24.32873726,400,2.602059991
33,N2,24.32316017,400,2.602059991
33,N2,24.33094406,400,2.602059991
34,N2,24.5358963,400,2.602059991
34,N2,24.52356148,400,2.602059991
34,N2,24.50839233,400,2.602059991
35,N2,23.68546295,400,2.602059991
35,N2,23.60788727,400,2.602059991
35,N2,23.55811691,400,2.602059991
36,N2,23.92651176,400,2.602059991
36,N2,23.9364872,400,2.602059991
36,N2,24.08999062,400,2.602059991
37,N2,23.73046875,400,2.602059991
37,N2,23.67464256,400,2.602059991
37,N2,23.2149086,400,2.602059991
10,N2,29.11139679,40,1.602059991
10,N2,28.90130424,40,1.602059991
10,N2,28.82419395,40,1.602059991
11,N2,27.73640251,40,1.602059991
11,N2,27.64862823,40,1.602059991
11,N2,27.75596619,40,1.602059991
12,N2,27.13300705,40,1.602059991
12,N2,26.90254784,40,1.602059991
12,N2,26.92350769,40,1.602059991
13,N2,28.71650124,40,1.602059991
13,N2,28.62177086,40,1.602059991
13,N2,28.77093506,40,1.602059991
14,N2,27.95782471,40,1.602059991
14,N2,28.2556057,40,1.602059991
14,N2,28.47049332,40,1.602059991
15,N2,30.52627754,40,1.602059991
15,N2,29.92072868,40,1.602059991
15,N2,30.67080307,40,1.602059991
16,N2,28.16841125,40,1.602059991
16,N2,28.83804131,40,1.602059991
16,N2,29.13042831,40,1.602059991
17,N2,27.24981308,40,1.602059991
17,N2,27.18113518,40,1.602059991
17,N2,27.17524147,40,1.602059991
18,N2,30.00498581,40,1.602059991
18,N2,30.64889908,40,1.602059991
18,N2,29.97708702,40,1.602059991
19,N2,27.80596733,40,1.602059991
19,N2,27.80596733,40,1.602059991
19,N2,27.80596733,40,1.602059991
20,N2,27.7672596,40,1.602059991
20,N2,27.50042534,40,1.602059991
20,N2,27.40194321,40,1.602059991
21,N2,26.94000626,40,1.602059991
21,N2,26.85373497,40,1.602059991
21,N2,26.80571175,40,1.602059991
22,N2,27.11332893,40,1.602059991
22,N2,26.88211823,40,1.602059991
22,N2,26.96001053,40,1.602059991
23,N2,29.0104866,40,1.602059991
23,N2,28.86513329,40,1.602059991
23,N2,28.9540844,40,1.602059991
24,N2,26.84612656,40,1.602059991
24,N2,26.7779541,40,1.602059991
24,N2,26.7592659,40,1.602059991
25,N2,27.29580879,40,1.602059991
25,N2,27.12713432,40,1.602059991
25,N2,27.38805199,40,1.602059991
26,N2,28.31303406,40,1.602059991
26,N2,27.73558617,40,1.602059991
26,N2,27.7563324,40,1.602059991
27,N2,28.9250927,40,1.602059991
27,N2,29.05537605,40,1.602059991
27,N2,29.24495888,40,1.602059991
28,N2,28.9250927,40,1.602059991
28,N2,29.05537605,40,1.602059991
28,N2,29.24495888,40,1.602059991
29,N2,32.01721954,40,1.602059991
29,N2,32.30242157,40,1.602059991
29,N2,32.18634033,40,1.602059991
30,N2,24.09982109,40,1.602059991
30,N2,24.13872337,40,1.602059991
30,N2,24.1144352,40,1.602059991
31,N2,25.57320595,40,1.602059991
31,N2,25.6259613,40,1.602059991
31,N2,25.43142891,40,1.602059991
32,N2,28.63468552,40,1.602059991
32,N2,28.59228134,40,1.602059991
32,N2,29.11133385,40,1.602059991
33,N2,26.53418922,40,1.602059991
33,N2,26.43047523,40,1.602059991
33,N2,26.46159172,40,1.602059991
34,N2,27.1967659,40,1.602059991
34,N2,27.16250801,40,1.602059991
34,N2,27.34458351,40,1.602059991
35,N2,26.24905777,40,1.602059991
35,N2,26.163414,40,1.602059991
35,N2,26.52999115,40,1.602059991
36,N2,25.51605988,40,1.602059991
36,N2,25.52374458,40,1.602059991
36,N2,25.52092552,40,1.602059991
37,N2,26.40492249,40,1.602059991
37,N2,26.32963181,40,1.602059991
37,N2,26.20666504,40,1.602059991
10,N2,33.16319275,4,0.602059991
10,N2,32.23258972,4,0.602059991
10,N2,31.18385696,4,0.602059991
12,N2,29.7185154,4,0.602059991
12,N2,29.3502636,4,0.602059991
12,N2,29.21298027,4,0.602059991
13,N2,31.7183876,4,0.602059991
13,N2,31.59113884,4,0.602059991
13,N2,31.80598068,4,0.602059991
14,N2,31.869133,4,0.602059991
14,N2,31.27289391,4,0.602059991
14,N2,31.95708275,4,0.602059991
15,N2,34.16982651,4,0.602059991
15,N2,34.67300415,4,0.602059991
15,N2,33.91630554,4,0.602059991
16,N2,30.87472916,4,0.602059991
16,N2,31.13720512,4,0.602059991
16,N2,30.74144173,4,0.602059991
17,N2,30.47422409,4,0.602059991
17,N2,30.55265808,4,0.602059991
17,N2,31.13009071,4,0.602059991
18,N2,33.54248428,4,0.602059991
18,N2,35.88536072,4,0.602059991
19,N2,31.27020264,4,0.602059991
19,N2,31.27020264,4,0.602059991
19,N2,31.27020264,4,0.602059991
20,N2,31.21513557,4,0.602059991
20,N2,30.17999649,4,0.602059991
20,N2,32.30856323,4,0.602059991
21,N2,29.93981361,4,0.602059991
21,N2,29.04700851,4,0.602059991
21,N2,28.80027008,4,0.602059991
22,N2,31.11505127,4,0.602059991
22,N2,29.62383461,4,0.602059991
22,N2,29.53278351,4,0.602059991
23,N2,31.76374435,4,0.602059991
23,N2,32.79150391,4,0.602059991
23,N2,31.18366432,4,0.602059991
24,N2,30.97554398,4,0.602059991
24,N2,30.36530876,4,0.602059991
24,N2,30.28668404,4,0.602059991
25,N2,29.50699806,4,0.602059991
25,N2,29.42577553,4,0.602059991
25,N2,29.99394608,4,0.602059991
26,N2,31.37632751,4,0.602059991
26,N2,30.97123337,4,0.602059991
26,N2,30.6850872,4,0.602059991
27,N2,32.11314774,4,0.602059991
27,N2,31.69690323,4,0.602059991
27,N2,31.42060661,4,0.602059991
28,N2,32.11314774,4,0.602059991
28,N2,31.69690323,4,0.602059991
28,N2,31.42060661,4,0.602059991
29,N2,35.51039124,4,0.602059991
29,N2,35.52253342,4,0.602059991
29,N2,35.96061325,4,0.602059991
30,N2,29.33391571,4,0.602059991
30,N2,29.21828651,4,0.602059991
30,N2,29.16752625,4,0.602059991
31,N2,31.24412346,4,0.602059991
31,N2,31.00494576,4,0.602059991
31,N2,29.93396378,4,0.602059991
