Target,Cq,SQ
N2,31.27289391,4
N2,31.95708275,4
N2,26.11258888,4000
N2,25.87444305,4000
N2,26.12845421,4000
N2,28.41205597,400
N2,28.7736454,400
N2,28.95523834,400
N2,30.52627754,40
N2,29.92072868,40
N2,30.67080307,40
N2,34.16982651,4
N2,34.67300415,4
N2,33.91630554,4
N2,22.83695793,4000
N2,22.55588531,4000
N2,22.8662014,4000
N2,26.08926392,400
N2,25.88049316,400
N2,26.41822624,400
N2,28.16841125,40
N2,28.83804131,40
N2,29.13042831,40
N2,30.87472916,4
N2,31.13720512,4
N2,30.74144173,4
N2,21.36303139,4000
N2,20.94091225,4000
N2,20.94173622,4000
N2,24.71797371,400
N2,24.59856415,400
N2,24.8948555,400
N2,27.24981308,40
N2,27.18113518,40
N2,27.17524147,40
N2,30.47422409,4
N2,30.55265808,4
N2,31.13009071,4
N2,21.02223015,4000
N2,21.12361717,4000
N2,21.61143875,4000
N2,26.95106316,400
N2,26.79942131,400
N2,26.93343925,400
N2,30.00498581,40
N2,30.64889908,40
N2,29.97708702,40
N2,33.54248428,4
N2,35.88536072,4
N2,21.60868263,4000
N2,21.60868263,4000
N2,21.60868263,4000
N2,24.83615685,400
N2,24.83615685,400
N2,24.83615685,400
N2,27.80596733,40
N2,27.80596733,40
N2,27.80596733,40
N2,31.27020264,4
N2,31.27020264,4
N2,31.27020264,4
N2,22.317379,4000
N2,22.11098862,4000
N2,22.02502823,4000
N2,26.42978287,400
N2,25.56036758,400
N2,25.40506554,400
N2,27.7672596,40
N2,27.50042534,40
N2,27.40194321,40
N2,31.21513557,4
N2,30.17999649,4
N2,32.30856323,4
N2,22.15341949,4000
N2,22.14014244,4000
N2,22.13188553,4000
N2,24.58117485,400
N2,24.57752991,400
N2,24.52463913,400
N2,26.94000626,40
N2,26.85373497,40
N2,26.80571175,40
N2,29.93981361,4
N2,29.04700851,4
N2,28.80027008,4
N2,20.97633362,4000
N2,20.95238304,4000
N2,20.96714211,4000
N2,25.49245453,400
N2,25.43315887,400
N2,25.47251129,400
N2,27.11332893,40
N2,26.88211823,40
N2,26.96001053,40
N2,31.11505127,4
N2,29.62383461,4
N2,29.53278351,4
N2,22.8857975,4000
N2,22.75893211,4000
N2,22.89428329,4000
N2,26.73265266,400
N2,26.77072525,400
N2,26.96809769,400
N2,29.0104866,40
N2,28.86513329,40
N2,28.9540844,40
N2,31.76374435,4
N2,32.79150391,4
N2,31.18366432,4
N2,20.46656609,4000
N2,20.3965683,4000
N2,20.38187599,4000
N2,24.15031242,400
N2,23.96519279,400
N2,24.16276741,400
N2,26.84612656,40
N2,26.7779541,40
N2,26.7592659,40
N2,30.97554398,4
N2,30.36530876,4
N2,30.28668404,4
N2,21.91956329,4000
N2,21.91331863,4000
N2,21.93860245,4000
N2,24.97397995,400
N2,25.44730759,400
N2,25.39310074,400
N2,27.29580879,40
N2,27.12713432,40
N2,27.38805199,40
N2,29.50699806,4
N2,29.42577553,4
N2,29.99394608,4
N2,22.44945145,4000
N2,22.37545967,4000
N2,22.43440247,4000
N2,26.2945385,400
N2,26.31054878,400
N2,26.30806351,400
N2,28.31303406,40
N2,27.73558617,40
N2,27.7563324,40
N2,31.37632751,4
N2,30.97123337,4
N2,30.6850872,4
N2,22.87471771,4000
N2,22.82250977,4000
N2,22.92343712,4000
N2,26.99869347,400
N2,26.86343193,400
N2,26.89359856,400
N2,28.9250927,40
N2,29.05537605,40
N2,29.24495888,40
N2,32.11314774,4
N2,31.69690323,4
N2,31.42060661,4
